instant_utc,debit_m3s
2026-08-13T08:40:00Z,0.05
2026-08-13T08:50:00Z,0.049
2026-08-13T09:00:00Z,0.05
2026-08-13T09:10:00Z,0.049
2026-08-13T09:20:00Z,0.048
2026-08-13T09:30:00Z,0.049
2026-08-13T09:40:00Z,0.049
2026-08-13T09:50:00Z,0.053
2026-08-13T10:00:00Z,0.052
2026-08-13T10:10:00Z,0.049
2026-08-13T10:20:00Z,0.052
2026-08-13T10:30:00Z,0.052
2026-08-13T10:40:00Z,0.052
2026-08-13T10:50:00Z,0.053
2026-08-13T11:00:00Z,0.053
2026-08-13T11:10:00Z,0.049
2026-08-13T11:20:00Z,0.052
2026-08-13T11:30:00Z,0.048
2026-08-13T11:40:00Z,0.049
2026-08-13T11:50:00Z,0.048
2026-08-13T12:00:00Z,0.048
2026-08-13T12:10:00Z,0.049
2026-08-13T12:20:00Z,0.052
2026-08-13T12:30:00Z,0.048
2026-08-13T12:40:00Z,0.05
2026-08-13T12:50:00Z,0.05
2026-08-13T13:00:00Z,0.049
2026-08-13T13:10:00Z,0.049
2026-08-13T13:20:00Z,0.05
2026-08-13T13:30:00Z,0.048
2026-08-13T13:40:00Z,0.052
2026-08-13T13:50:00Z,0.049
2026-08-13T14:00:00Z,0.05
2026-08-13T14:10:00Z,0.049
2026-08-13T14:20:00Z,0.05
2026-08-13T14:30:00Z,0.049
2026-08-13T14:40:00Z,0.05
2026-08-13T14:50:00Z,0.05
2026-08-13T15:00:00Z,0.049
2026-08-13T15:10:00Z,0.05
2026-08-13T15:20:00Z,0.05
2026-08-13T15:30:00Z,0.049
2026-08-13T15:40:00Z,0.049
2026-08-13T15:50:00Z,0.049
2026-08-13T16:00:00Z,0.049
2026-08-13T16:10:00Z,0.05
2026-08-13T16:20:00Z,0.049
2026-08-13T16:30:00Z,0.049
2026-08-13T16:40:00Z,0.048
2026-08-13T16:50:00Z,0.048
2026-08-13T17:00:00Z,0.049
2026-08-13T17:10:00Z,0.048
2026-08-13T17:20:00Z,0.048
2026-08-13T17:30:00Z,0.049
2026-08-13T17:40:00Z,0.049
2026-08-13T17:50:00Z,0.048
2026-08-13T18:00:00Z,0.046
2026-08-13T18:20:00Z,0.048
