instant_utc,niveau_ngf
2026-06-03T01:00:00Z,43.867
2026-06-03T02:00:00Z,43.867
2026-06-03T03:00:00Z,43.866
2026-06-03T04:00:00Z,43.868
2026-06-03T05:00:00Z,43.867
2026-06-03T06:00:00Z,43.871
2026-06-03T07:00:00Z,43.871
2026-06-03T08:00:00Z,43.872
2026-06-03T09:00:00Z,43.872
2026-06-03T10:00:00Z,43.874
2026-06-03T11:00:00Z,43.873
2026-06-03T12:00:00Z,43.875
2026-06-03T13:00:00Z,43.881
2026-06-03T14:00:00Z,43.884
2026-06-03T15:00:00Z,43.887
2026-06-03T16:00:00Z,43.891
2026-06-03T17:00:00Z,43.893
2026-06-03T18:00:00Z,43.897
2026-06-03T19:00:00Z,43.9
2026-06-03T20:00:00Z,43.899
2026-06-03T21:00:00Z,43.902
2026-06-03T22:00:00Z,43.904
2026-06-03T23:00:00Z,43.907
2026-06-04T00:00:00Z,43.908
2026-06-04T01:00:00Z,43.911
2026-06-04T02:00:00Z,43.914
2026-06-04T03:00:00Z,43.916
2026-06-04T04:00:00Z,43.919
2026-06-04T05:00:00Z,43.923
2026-06-04T06:00:00Z,43.923
2026-06-04T07:00:00Z,43.925
2026-06-04T08:00:00Z,43.926
2026-06-04T09:00:00Z,43.926
2026-06-04T10:00:00Z,43.924
2026-06-04T11:00:00Z,43.924
2026-06-04T12:00:00Z,43.922
2026-06-04T13:00:00Z,43.919
2026-06-04T14:00:00Z,43.915
2026-06-04T15:00:00Z,43.914
2026-06-04T16:00:00Z,43.911
2026-06-04T17:00:00Z,43.909
2026-06-04T18:00:00Z,43.907
2026-06-04T19:00:00Z,43.9
2026-06-04T20:00:00Z,43.9
2026-06-04T21:00:00Z,43.896
2026-06-04T22:00:00Z,43.892
2026-06-04T23:00:00Z,43.889
2026-06-05T00:00:00Z,43.884
2026-06-05T01:00:00Z,43.881
2026-06-05T02:00:00Z,43.878
2026-06-05T03:00:00Z,43.872
2026-06-05T04:00:00Z,43.87
2026-06-05T05:00:00Z,43.868
2026-06-05T06:00:00Z,43.867
2026-06-05T07:00:00Z,43.865
2026-06-05T08:00:00Z,43.861
2026-06-05T09:00:00Z,43.859
2026-06-05T10:00:00Z,43.855
2026-06-05T11:00:00Z,43.854
2026-06-05T12:00:00Z,43.855
2026-06-05T13:00:00Z,43.856
2026-06-05T14:00:00Z,43.853
2026-06-05T15:00:00Z,43.856
2026-06-05T16:00:00Z,43.855
2026-06-05T17:00:00Z,43.856
2026-06-05T18:00:00Z,43.86
2026-06-05T19:00:00Z,43.857
2026-06-05T20:00:00Z,43.86
2026-06-05T21:00:00Z,43.861
2026-06-05T22:00:00Z,43.861
2026-06-05T23:00:00Z,43.862
2026-06-06T00:00:00Z,43.865
2026-06-06T01:00:00Z,43.868
2026-06-06T02:00:00Z,43.867
2026-06-06T03:00:00Z,43.872
2026-06-06T04:00:00Z,43.869
2026-06-06T05:00:00Z,43.872
2026-06-06T06:00:00Z,43.874
2026-06-06T07:00:00Z,43.876
2026-06-06T08:00:00Z,43.874
2026-06-06T09:00:00Z,43.872
2026-06-06T10:00:00Z,43.868
2026-06-06T11:00:00Z,43.867
2026-06-06T12:00:00Z,43.861
2026-06-06T13:00:00Z,43.856
2026-06-06T14:00:00Z,43.852
2026-06-06T15:00:00Z,43.845
2026-06-06T16:00:00Z,43.841
2026-06-06T17:00:00Z,43.835
2026-06-06T18:00:00Z,43.833
2026-06-06T19:00:00Z,43.829
2026-06-06T20:00:00Z,43.821
2026-06-06T21:00:00Z,43.816
2026-06-06T22:00:00Z,43.813
2026-06-06T23:00:00Z,43.809
2026-06-07T00:00:00Z,43.803
2026-06-07T01:00:00Z,43.801
2026-06-07T02:00:00Z,43.797
2026-06-07T03:00:00Z,43.794
2026-06-07T04:00:00Z,43.793
2026-06-07T05:00:00Z,43.789
2026-06-07T06:00:00Z,43.787
2026-06-07T07:00:00Z,43.785
2026-06-07T08:00:00Z,43.781
2026-06-07T09:00:00Z,43.779
2026-06-07T10:00:00Z,43.776
2026-06-07T11:00:00Z,43.776
2026-06-07T12:00:00Z,43.774
2026-06-07T13:00:00Z,43.778
2026-06-07T14:00:00Z,43.778
2026-06-07T15:00:00Z,43.779
2026-06-07T16:00:00Z,43.781
2026-06-07T17:00:00Z,43.784
2026-06-07T18:00:00Z,43.786
2026-06-07T19:00:00Z,43.789
2026-06-07T20:00:00Z,43.792
2026-06-07T21:00:00Z,43.793
2026-06-07T22:00:00Z,43.793
2026-06-07T23:00:00Z,43.795
2026-06-08T00:00:00Z,43.797
2026-06-08T01:00:00Z,43.795
2026-06-08T02:00:00Z,43.798
2026-06-08T03:00:00Z,43.799
2026-06-08T04:00:00Z,43.801
2026-06-08T05:00:00Z,43.801
2026-06-08T06:00:00Z,43.801
2026-06-08T07:00:00Z,43.803
2026-06-08T08:00:00Z,43.8
